Date,Name,Year,Rating,Rewatch,Tags,Watched Date,Letterboxd URI,Like
2025-06-12,While You Were Sleeping,1995,4.5,No,,2025-06-11,https://boxd.it/27wm,True
2025-06-13,Challengers,2024,4.5,Yes,background noise,2025-06-12,https://boxd.it/zld0,True
2025-06-13,Queer,2024,3.0,No,,2025-06-12,https://boxd.it/E4RW,False
2025-06-14,Bedtime Stories,2008,3.0,Yes,,2025-06-13,https://boxd.it/1WPM,True
2025-06-15,Materialists,2025,4.5,No,in theatres,2025-06-14,https://boxd.it/GZlW,True
2025-06-16,Sleepless in Seattle,1993,3.5,No,,2025-06-15,https://boxd.it/29re,True
2025-06-18,Bridesmaids,2011,4.5,No,train time,2025-06-17,https://boxd.it/rac,True
2025-06-26,Can't Buy Me Love,1987,2.5,No,,2025-06-25,https://boxd.it/1R4c,False
2025-06-30,Tangled,2010,5.0,Yes,,2025-06-29,https://boxd.it/15gO,True
2025-07-02,Fantastic Four,2005,3.5,No,,2025-07-01,https://boxd.it/5a9c,False
2025-07-02,Fantastic Four,2005,3.5,No,,2025-07-01,https://boxd.it/1XVw,True
2025-07-03,Fantastic Four: Rise of the Silver Surfer,2007,2.0,No,,2025-07-02,https://boxd.it/27Ii,False
2025-07-04,Fantastic Four,2015,0.5,Yes,,2025-07-03,https://boxd.it/5a9c,False
2025-07-04,A Nice Indian Boy,2024,4.5,No,in theatres,2025-07-03,https://boxd.it/GG6o,True
2025-07-04,Fantastic Four,2015,0.5,Yes,,2025-07-03,https://boxd.it/1XVw,True
2025-07-05,About Time,2013,4.5,No,i cry,2025-07-04,https://boxd.it/43bI,True
2025-07-06,Date Night,2010,4.0,No,,2025-07-05,https://boxd.it/2l5a,True
2025-07-08,Chicago,2002,4.5,No,background noise,2025-07-06,https://boxd.it/28zm,True
2025-07-08,Confessions of a Teenage Drama Queen,2004,2.5,No,,2025-07-07,https://boxd.it/1UyE,False
2025-07-10,The Princess Bride,1987,4.0,No,,2025-07-08,https://boxd.it/26EY,True
2025-07-10,Wimbledon,2004,4.5,No,,2025-07-09,https://boxd.it/1T0m,True
2025-07-11,When a Man Loves a Woman,1994,4.5,No,i cry,2025-07-10,https://boxd.it/1WeG,True
2025-07-14,KPop Demon Hunters,2025,4.0,No,,2025-07-13,https://boxd.it/ufwK,True
2025-07-15,Freaky Friday,2003,4.5,No,,2025-07-14,https://boxd.it/1WwK,True
2025-07-16,Zootopia,2016,3.5,Yes,,2025-07-15,https://boxd.it/84xS,True
2025-07-17,Bring It On,2000,4.0,Yes,,2025-07-16,https://boxd.it/28x6,True
